STATE,DISTRICT,YEAR,SEASON,CROP,AREA,PRODUCTION_TONNES
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,LINSEED,7.0,3.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,MAIZE,27087.0,53226.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,MANGO,8711.0,74653.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,MOONG(GREEN GRAM),481.0,534.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,ONION,1414.0,31097.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,OTHER KHARIF PULSES,62.0,18.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,OTHER OILSEEDS,13865.0,9431.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,PAPAYA,230.0,22418.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,POME GRANET,1450.0,23722.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,RAGI,2055.0,3163.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,RICE,28114.0,59377.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,SAPOTA,2181.0,20517.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,SMALL MILLETS,935.0,856.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,SOYABEAN,2401.0,3866.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,SUGARCANE,281.0,26505.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,SUNFLOWER,8109.0,6698.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,TOBACCO,6.0,11.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,TOMATO,2991.0,88620.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,TURMERIC,46.0,567.0
ANDHRA PRADESH,ANANTAPUR,2013,Kharif,URAD,48.0,45.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,BAJRA,17.0,16.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,BRINJAL,356.0,7543.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,CABBAGE,11.0,207.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,CASTOR SEED,31.0,15.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,CORIANDER,1971.0,1234.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,COTTON(LINT),62.0,127.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,COWPEA(LOBIA),32.0,26.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,DRY CHILLIES,27.0,54.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,GRAM,85768.0,68614.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,GROUNDNUT,17303.0,26335.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,HORSE-GRAM,2510.0,1416.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,JOWAR,6605.0,3137.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,MAIZE,7777.0,57970.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,MOONG(GREEN GRAM),129.0,81.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,ONION,611.0,14317.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,OTHER KHARIF PULSES,5.0,6.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,RAGI,822.0,1462.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,RICE,12283.0,28558.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,SAFFLOWER,58.0,41.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,SMALL MILLETS,11.0,10.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,SUNFLOWER,5911.0,2879.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,SWEET POTATO,1.0,9.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,TOBACCO,183.0,309.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,TOMATO,3482.0,80532.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,URAD,4.0,3.0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi,WHEAT,62.0,39.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,BANANA,8661.0,483881.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,CASHEWNUT,9.0,3.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,CASTOR SEED,11447.0,5381.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,COCONUT,552.0,3969000.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,CORIANDER,1971.0,1234.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,LINSEED,7.0,3.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,POTATO,82.0,1179.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,SAFFLOWER,58.0,41.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,SWEET POTATO,1.0,9.0
ANDHRA PRADESH,ANANTAPUR,2013,Whole Year,WHEAT,62.0,39.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,ARHAR/TUR,37562.0,4845.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,BAJRA,1752.0,1028.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,BRINJAL,320.0,7596.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,CABBAGE,10.0,123.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,CASHEWNUT,19.0,7.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,CASTOR SEED,10320.0,5903.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,CORIANDER,162.0,84.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,COTTON(LINT),73734.0,103779.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,COWPEA(LOBIA),982.0,410.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,DRY CHILLIES,2799.0,11848.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,GRAPES,309.0,6886.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,GROUNDNUT,550794.0,148714.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,HORSE-GRAM,3692.0,1658.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,JOWAR,13189.0,4234.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,LEMON,416.0,3618.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,MAIZE,16839.0,42687.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,MANGO,11278.0,70939.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,MESTA,15.0,106.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,MOONG(GREEN GRAM),2428.0,2994.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,ONION,1969.0,35214.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,OTHER KHARIF PULSES,25.0,2.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,OTHER OILSEEDS,31.0,49.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,PAPAYA,374.0,29443.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,POME GRANET,1572.0,16416.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,POTATO,15.0,281.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,RAGI,1136.0,1713.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,RICE,22658.0,68155.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,SAPOTA,2151.0,19520.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,SMALL MILLETS,691.0,606.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,SOYABEAN,44.0,50.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,SUGARCANE,30.0,2456.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,SUNFLOWER,5066.0,1180.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,TOBACCO,15.0,43.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,TOMATO,3976.0,113236.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,TURMERIC,19.0,223.0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif,URAD,188.0,249.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,BAJRA,47.0,28.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,BRINJAL,468.0,11108.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,CABBAGE,2.0,25.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,CASTOR SEED,229.0,131.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,CORIANDER,8223.0,4251.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,COTTON(LINT),884.0,1244.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,COWPEA(LOBIA),234.0,263.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,DRY CHILLIES,124.0,387.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,GRAM,68092.0,38676.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,GROUNDNUT,14957.0,24679.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,HORSE-GRAM,8079.0,3700.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,JOWAR,5263.0,1368.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,MAIZE,4474.0,31618.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,MOONG(GREEN GRAM),586.0,481.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,ONION,297.0,6767.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,OTHER  RABI PULSES,2.0,2.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,POTATO,77.0,1442.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,RAGI,734.0,1122.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,RICE,6553.0,14377.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,SAFFLOWER,310.0,87.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,SMALL MILLETS,47.0,41.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,SUNFLOWER,3386.0,1642.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,SWEET POTATO,4.0,44.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,TOBACCO,341.0,635.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,TOMATO,4191.0,87055.0
ANDHRA PRADESH,ANANTAPUR,2014,Rabi,URAD,42.0,61.0
ANDHRA PRADESH,ANANTAPUR,2014,Whole Year,COCONUT,687.0,5756000.0
ANDHRA PRADESH,ANANTAPUR,2014,Whole Year,RICE,29211.0,82532.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,ARHAR/TUR,6100.0,900.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,BAJRA,1700.0,1900.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,DRY CHILLIES,600.0,800.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,GROUNDNUT,234900.0,144200.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,HORSE-GRAM,3100.0,2000.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,JOWAR,2400.0,1500.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,MAIZE,100.0,300.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,MOONG(GREEN GRAM),200.0,100.0
ANDHRA PRADESH,CHITTOOR,1997,Kharif,OTHER KHARIF PULSES,2200.0,300.0
